Ticker: IBM  Created on: 11/9/2016 9:30:09 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20161109, 152.960007, 155.559998, 151, 154.809998, 5386600, 154.809998, 0, 1, 153.8850025, -999
20161108, 154.559998, 155.929993, 153.059998, 155.169998, 3915000, 155.169998, 0, 1, 154.864998, -999
20161107, 153.990005, 156.110001, 153.839996, 155.720001, 3804900, 154.320006, 0, 1, 154.1550055, -999
20161104, 152.399994, 153.639999, 151.869995, 152.429993, 2470400, 151.059576, 0, 1, 151.729785, -999
20161103, 152.509995, 153.740005, 151.800003, 152.369995, 2878800, 151.000118, 0, 1, 151.7550565, -999
20161102, 152.479996, 153.350006, 151.669998, 151.949997, 3074400, 150.583896, 0, 1, 151.531946, -999
20161101, 153.5, 153.910004, 151.740005, 152.789993, 3191900, 151.41634, 0, 1, 152.45817, -999
20161031, 152.759995, 154.330002, 152.759995, 153.690002, 3553200, 152.308258, 0, 1, 152.5341265, -999
20161028, 154.050003, 154.440002, 152.179993, 152.610001, 3654500, 151.237965, 0, 1, 152.643984, -999
20161027, 152.820007, 154.059998, 152.020004, 153.350006, 4229300, 151.971318, 0, 1, 152.3956625, -999
20161026, 150.710007, 152.940002, 150.259995, 151.809998, 2811700, 150.445155, 0, 1, 150.577581, -999
20161025, 150.570007, 151.160004, 149.830002, 150.880005, 2647500, 149.523523, 0, 1, 150.046765, -999
20161024, 150.399994, 151.520004, 150.399994, 150.570007, 2666700, 149.216313, 0, 1, 149.8081535, -999
20161021, 150.580002, 151.149994, 149.559998, 149.630005, 4414200, 148.284761, 0, 1, 149.4323815, -999
20161020, 151.279999, 152.899994, 151.020004, 151.520004, 4023100, 150.157769, 0, 1, 150.718884, -999
20161019, 151.270004, 152.449997, 150.830002, 151.259995, 4632900, 149.900097, 0, 1, 150.5850505, -999
20161018, 150.020004, 151, 147.789993, 150.720001, 12770600, 149.364958, 0, 1, 149.692481, -999
20161017, 154.449997, 155.889999, 154.339996, 154.770004, 5890400, 153.37855, 0, 1, 153.9142735, -999
20161014, 154.470001, 155.529999, 154.089996, 154.449997, 4358200, 153.061419, 0, 1, 153.76571, -999
20161013, 153.699997, 154.220001, 152.270004, 153.720001, 2909900, 152.337987, 0, 1, 153.018992, -999
20161012, 154.970001, 154.970001, 153.080002, 154.289993, 2964000, 152.902854, 0, 1, 153.9364275, -999
20161011, 156.729996, 156.949997, 153.889999, 154.789993, 2901300, 153.398359, 0, 1, 155.0641775, -999
20161010, 156.710007, 158.490005, 156.660004, 157.020004, 2481300, 155.608321, 0, 1, 156.159164, -999
20161007, 157.139999, 157.699997, 154.860001, 155.669998, 2671900, 154.270452, 0, 1, 155.7052255, -999
20161006, 156.839996, 157.429993, 155.889999, 156.880005, 1950100, 155.46958, 0, 1, 156.154788, -999
20161005, 157.070007, 157.830002, 156.720001, 157.080002, 1684500, 155.667779, 0, 1, 156.368893, -999
20161004, 157.669998, 158.529999, 155.820007, 156.460007, 2884100, 155.053358, 0, 1, 156.361678, -999
20161003, 158.059998, 158.369995, 157.020004, 157.610001, 2227800, 156.193013, 0, 1, 157.1265055, -999
20160930, 158.899994, 159.839996, 158.059998, 158.850006, 3596900, 157.42187, 0, 1, 158.160932, -999
20160929, 158.630005, 165, 157.460007, 158.110001, 3374800, 156.688518, 0, 1, 157.6592615, -999
20160928, 156.990005, 158.630005, 156.229996, 158.289993, 3310000, 156.866892, 0, 1, 156.9284485, -999
