Ticker: AMD  Created on: 11/30/2016 8:26:02 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20161130, 9.02, 9.12, 8.9, 8.91, 36409800, 8.91, 0, 1, 8.965, -999
20161129, 9, 9.23, 8.85, 8.93, 54681700, 8.93, 0, 1, 8.965, -999
20161128, 8.72, 8.98, 8.72, 8.83, 25702500, 8.83, 0, 1, 8.775, -999
20161125, 8.8, 8.91, 8.69, 8.77, 14171100, 8.77, 0, 1, 8.785, -999
20161123, 8.72, 8.86, 8.5, 8.8, 34583200, 8.8, 0, 1, 8.76, -999
20161122, 9.05, 9.06, 8.54, 8.69, 71147400, 8.69, 0, 1, 8.87, -999
20161121, 8.87, 9.22, 8.86, 8.94, 65454300, 8.94, 0, 1, 8.905, -999
20161118, 8.68, 8.83, 8.4, 8.71, 62255300, 8.71, 0, 1, 8.695, -999
20161117, 7.79, 8.77, 7.77, 8.46, 124048700, 8.46, 0, 1, 8.125, -999
20161116, 7.09, 7.75, 7.07, 7.67, 77955700, 7.67, 0, 1, 7.38, -999
20161115, 6.82, 7.08, 6.79, 6.97, 28654300, 6.97, 0, 1, 6.895, -999
20161114, 6.83, 6.84, 6.61, 6.79, 29566600, 6.79, 0, 1, 6.81, -999
20161111, 6.64, 6.69, 6.47, 6.69, 39459100, 6.69, 0, 1, 6.665, -999
20161110, 6.82, 6.91, 6.22, 6.3, 71673500, 6.3, 0, 1, 6.56, -999
20161109, 6.7, 7.05, 6.64, 6.94, 38426300, 6.94, 0, 1, 6.82, -999
20161108, 6.85, 7.18, 6.75, 7, 37601100, 7, 0, 1, 6.925, -999
20161107, 6.79, 6.99, 6.76, 6.96, 36861900, 6.96, 0, 1, 6.875, -999
20161104, 6.69, 6.72, 6.46, 6.56, 32159000, 6.56, 0, 1, 6.625, -999
20161103, 6.78, 6.79, 6.56, 6.7, 33633200, 6.7, 0, 1, 6.74, -999
20161102, 7.03, 7.06, 6.67, 6.76, 33745800, 6.76, 0, 1, 6.895, -999
20161101, 7.32, 7.43, 6.92, 7.09, 39859700, 7.09, 0, 1, 7.205, -999
20161031, 7.24, 7.46, 7.2, 7.23, 42275900, 7.23, 0, 1, 7.235, -999
20161028, 7.1, 7.53, 7.02, 7.2, 77192900, 7.2, 0, 1, 7.15, -999
20161027, 7.44, 7.46, 7.1, 7.11, 37644400, 7.11, 0, 1, 7.275, -999
20161026, 7.4, 7.48, 7.26, 7.29, 47573700, 7.29, 0, 1, 7.345, -999
20161025, 6.9, 7.5, 6.87, 7.5, 78862000, 7.5, 0, 1, 7.2, -999
