Ticker: NVDA  Created on: 11/30/2016 8:26:04 PM,,,,,,,,,,,Ticker: AMD  Created on: 11/30/2016 8:26:02 PM,,,,,,,,,,
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding,Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20161130,93.599998,94.160004,92.099998,92.199997,10977600,92.199997,0,1,92.8999975,-999,20161130,9.02,9.12,8.9,8.91,36409800,8.91,0,1,8.965,-999
20161129,94,94.440002,92.529999,93.25,11097100,93.25,0,1,93.625,-999,20161129,9,9.23,8.85,8.93,54681700,8.93,0,1,8.965,-999
20161128,93.870003,94.739998,93.599998,94.110001,6951600,94.110001,0,1,93.990002,-999,20161128,8.72,8.98,8.72,8.83,25702500,8.83,0,1,8.775,-999
20161125,94.419998,95.099998,93.410004,94.160004,4889100,94.160004,0,1,94.290001,-999,20161125,8.8,8.91,8.69,8.77,14171100,8.77,0,1,8.785,-999
20161123,93.720001,95.25,92.769997,93.970001,11080900,93.970001,0,1,93.845001,-999,20161123,8.72,8.86,8.5,8.8,34583200,8.8,0,1,8.76,-999
20161122,93.300003,93.739998,92.379997,93.650002,8259200,93.51,0,1,93.4050015,-999,20161122,9.05,9.06,8.54,8.69,71147400,8.69,0,1,8.87,-999
20161121,94.089996,94.349998,92.400002,92.980003,10910900,92.841003,0,1,93.4654995,-999,20161121,8.87,9.22,8.86,8.94,65454300,8.94,0,1,8.905,-999
20161118,92.389999,94.330002,91.800003,93.360001,14401500,93.220433,0,1,92.805216,-999,20161118,8.68,8.83,8.4,8.71,62255300,8.71,0,1,8.695,-999
20161117,92.309998,94.790001,90.650002,92.389999,20824700,92.251882,0,1,92.28094,-999,20161117,7.79,8.77,7.77,8.46,124048700,8.46,0,1,8.125,-999
20161116,87.339996,92.559998,86.349998,91.629997,24699600,91.493016,0,1,89.416506,-999,20161116,7.09,7.75,7.07,7.67,77955700,7.67,0,1,7.38,-999
20161115,84.290001,87.449997,83.93,86.190002,15652300,86.061153,0,1,85.175577,-999,20161115,6.82,7.08,6.79,6.97,28654300,6.97,0,1,6.895,-999
20161114,88.089996,88.190002,83.620003,83.639999,33719900,83.514962,0,1,85.802479,-999,20161114,6.83,6.84,6.61,6.79,29566600,6.79,0,1,6.81,-999
20161111,79.510002,88.769997,78.5,87.970001,54383600,87.838491,0,1,83.6742465,-999,20161111,6.64,6.69,6.47,6.69,39459100,6.69,0,1,6.665,-999
20161110,71.489998,71.5,66.760002,67.769997,21732000,67.668684,0,1,69.579341,-999,20161110,6.82,6.91,6.22,6.3,71673500,6.3,0,1,6.56,-999
20161109,69.230003,70.900002,68.720001,69.959999,11413300,69.855413,0,1,69.542708,-999,20161109,6.7,7.05,6.64,6.94,38426300,6.94,0,1,6.82,-999
20161108,71.540001,71.769997,70.5,71.160004,10747100,71.053623,0,1,71.296812,-999,20161108,6.85,7.18,6.75,7,37601100,7,0,1,6.925,-999
20161107,69.550003,71.720001,69.5,71.269997,12189500,71.163452,0,1,70.3567275,-999,20161107,6.79,6.99,6.76,6.96,36861900,6.96,0,1,6.875,-999
