Ticker: LUK  Created on: 11/30/2016 9:15:25 PM,,,,,,,,,,,,,,,
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding,,ROR,Mean,Standard Deviation,Sharpe Ration
20161130,21.690001,22.049999,21.620001,22.02,2394500,22.02,0,1,21.8550005,-999,,,9.11282E-05,0.016587701,0.087210102
20161129,21.129999,21.440001,21.120001,21.33,1314600,21.33,0,1,21.2299995,-999,,0.032348805,,,
20161128,21.18,21.299999,21.049999,21.1,1094800,21.1,0,1,21.14,-999,,0.010900474,,,
20161125,21.379999,21.42,21.190001,21.35,501400,21.35,0,1,21.3649995,-999,,-0.011709602,,,
20161123,21,21.309999,20.940001,21.299999,1583100,21.299999,0,1,21.1499995,-999,,0.002347465,,,
20161122,21.1,21.190001,20.889999,21.030001,1027500,21.030001,0,1,21.0650005,-999,,0.012838706,,,
20161121,21,21.110001,20.959999,21.059999,1402700,21.059999,0,1,21.0299995,-999,,-0.001424407,,,
20161118,20.75,21.059999,20.610001,20.99,1224000,20.99,0,1,20.87,-999,,0.003334874,,,
20161117,20.75,20.860001,20.68,20.780001,1203900,20.780001,0,1,20.7650005,-999,,0.010105822,,,
20161116,20.67,20.83,20.639999,20.75,1267600,20.75,0,1,20.71,-999,,0.001445831,,,
20161115,20.620001,20.879999,20.440001,20.870001,1601600,20.870001,0,1,20.745001,-999,,-0.005749928,,,
20161114,20.83,21.040001,20.540001,20.76,2905700,20.76,0,1,20.795,-999,,0.005298699,,,
20161111,20.200001,20.790001,20.17,20.780001,3394200,20.780001,0,1,20.490001,-999,,-0.000962512,,,
20161110,19.84,20.469999,19.83,20.200001,3883300,20.200001,0,1,20.0200005,-999,,0.02871287,,,
20161109,18.67,19.790001,18.639999,19.65,3530900,19.65,0,1,19.16,-999,,0.027989873,,,
20161108,18.66,18.969999,18.48,18.809999,2869300,18.809999,0,1,18.7349995,-999,,0.044657153,,,
20161107,18.27,18.790001,18.27,18.66,2546500,18.66,0,1,18.465,-999,,0.008038532,,,
20161104,18.129999,18.200001,17.870001,17.91,1749600,17.91,0,1,18.0199995,-999,,0.041876047,,,
20161103,18.440001,18.5,18.09,18.1,1753900,18.1,0,1,18.2700005,-999,,-0.010497238,,,
20161102,18.5,18.5,18.309999,18.32,1365400,18.32,0,1,18.41,-999,,-0.012008734,,,
20161101,18.790001,18.790001,18.4,18.58,1437600,18.58,0,1,18.6850005,-999,,-0.013993541,,,
20161031,18.809999,18.83,18.66,18.67,1474400,18.67,0,1,18.7399995,-999,,-0.004820568,,,
20161028,18.77,18.889999,18.530001,18.709999,1646800,18.709999,0,1,18.7399995,-999,,-0.002137841,,,
20161027,18.92,18.92,18.68,18.709999,1427600,18.709999,0,1,18.8149995,-999,,0,,,
20161026,18.58,18.9,18.450001,18.799999,2169700,18.799999,0,1,18.6899995,-999,,-0.004787234,,,
20161025,18.82,18.870001,18.639999,18.66,1260300,18.66,0,1,18.74,-999,,0.007502626,,,
20161024,18.889999,18.92,18.67,18.83,1425300,18.83,0,1,18.8599995,-999,,-0.009028147,,,
20161021,18.629999,18.82,18.610001,18.76,1115500,18.76,0,1,18.6949995,-999,,0.003731343,,,
20161020,18.75,18.969999,18.74,18.799999,1743900,18.799999,0,1,18.7749995,-999,,-0.002127606,,,
20161019,19.01,19.030001,18.780001,18.799999,1708100,18.799999,0,1,18.9049995,-999,,0,,,
20161018,18.889999,19.01,18.74,18.959999,1526200,18.959999,0,1,18.924999,-999,,-0.008438819,,,
20161017,19.01,19.01,18.620001,18.629999,1660700,18.629999,0,1,18.8199995,-999,,0.017713366,,,
20161014,19.08,19.139999,18.860001,18.969999,1798200,18.969999,0,1,19.0249995,-999,,-0.017923037,,,
20161013,19.18,19.18,18.799999,18.9,1943000,18.9,0,1,19.04,-999,,0.003703651,,,
20161012,19.299999,19.459999,19.17,19.4,2627600,19.4,0,1,19.3499995,-999,,-0.025773196,,,
20161011,19.450001,19.540001,19.219999,19.27,2501900,19.27,0,1,19.3600005,-999,,0.006746238,,,
20161010,19.67,19.700001,19.48,19.51,1765800,19.51,0,1,19.59,-999,,-0.012301384,,,
20161007,19.6,19.74,19.450001,19.549999,4069200,19.549999,0,1,19.5749995,-999,,-0.002045985,,,
20161006,19.35,19.559999,19.209999,19.549999,2710500,19.549999,0,1,19.4499995,-999,,0,,,
20161005,19,19.4,18.940001,19.299999,2427000,19.299999,0,1,19.1499995,-999,,0.012953369,,,
20161004,18.969999,19.040001,18.82,18.860001,1425400,18.860001,0,1,18.915,-999,,0.023329691,,,
20161003,18.98,19.09,18.879999,18.940001,1070200,18.940001,0,1,18.9600005,-999,,-0.004223865,,,
20160930,18.9,19.200001,18.84,19.040001,3049300,19.040001,0,1,18.9700005,-999,,-0.005252101,,,
20160929,18.85,18.950001,18.379999,18.74,2405300,18.74,0,1,18.795,-999,,0.016008591,,,
20160928,18.799999,18.92,18.610001,18.860001,1306900,18.860001,0,1,18.83,-999,,-0.006362725,,,
20160927,18.58,18.809999,18.469999,18.76,1139800,18.76,0,1,18.67,-999,,0.005330544,,,
20160926,18.68,18.790001,18.540001,18.610001,1478500,18.610001,0,1,18.6450005,-999,,0.008060129,,,
20160923,19.02,19.120001,18.83,18.84,1382500,18.84,0,1,18.93,-999,,-0.012208015,,,
20160922,19.24,19.280001,19,19.07,1161000,19.07,0,1,19.155,-999,,-0.012060829,,,
20160921,19.040001,19.309999,18.969999,19.15,1848200,19.15,0,1,19.0950005,-999,,-0.004177546,,,
20160920,19.07,19.129999,18.91,18.92,1431900,18.92,0,1,18.995,-999,,0.012156448,,,
20160919,19.059999,19.280001,18.940001,18.959999,940800,18.959999,0,1,19.009999,-999,,-0.002109652,,,
20160916,18.93,19.040001,18.799999,18.969999,2591900,18.969999,0,1,18.9499995,-999,,-0.000527148,,,
20160915,18.77,19.15,18.76,19.08,1044300,19.08,0,1,18.925,-999,,-0.005765252,,,
20160914,18.959999,19.08,18.76,18.85,1110500,18.787001,0,1,18.8735,-999,,0.015595837,,,
20160913,19.129999,19.129999,18.51,19.01,1642300,18.946466,0,1,19.0382325,-999,,-0.008416609,,,
20160912,18.83,19.450001,18.629999,19.379999,2011100,19.315228,0,1,19.072614,-999,,-0.019091776,,,
20160909,19.32,19.41,18.969999,18.98,1590000,18.916566,0,1,19.118283,-999,,0.021074755,,,
20160908,19.200001,19.49,19.1,19.469999,1721900,19.404928,0,1,19.3024645,-999,,-0.025166906,,,
20160907,18.77,19.209999,18.73,19.200001,1240200,19.135831,0,1,18.9529155,-999,,0.014062467,,,
20160906,19.02,19.08,18.77,18.84,1513400,18.777034,0,1,18.898517,-999,,0.019108289,,,
20160902,19.01,19.15,18.85,19.030001,1003300,18.9664,0,1,18.9882,-999,,-0.009984288,,,
20160901,19.200001,19.219999,18.77,18.889999,1369300,18.826866,0,1,19.0134335,-999,,0.00741143,,,
20160831,19.030001,19.25,18.98,19.15,2055000,19.085997,0,1,19.057999,-999,,-0.013577022,,,
20160830,19.040001,19.18,18.92,19.09,1369900,19.026198,0,1,19.0330995,-999,,0.003142982,,,
20160829,18.85,19.139999,18.85,19.040001,1311000,18.976366,0,1,18.913183,-999,,0.002626003,,,
20160826,18.92,19.040001,18.700001,18.82,1048500,18.7571,0,1,18.83855,-999,,0.01168976,,,
20160825,18.52,18.9,18.52,18.83,899700,18.767067,0,1,18.6435335,-999,,-0.00053109,,,
20160824,18.68,18.98,18.530001,18.57,1465600,18.507936,0,1,18.593968,-999,,0.014001075,,,
20160823,18.76,18.84,18.620001,18.68,1068100,18.617569,0,1,18.6887845,-999,,-0.005888685,,,
20160822,18.66,18.719999,18.559999,18.639999,979900,18.577702,0,1,18.618851,-999,,0.00214596,,,
20160819,18.76,18.76,18.610001,18.700001,1043500,18.637503,0,1,18.6987515,-999,,-0.003208638,,,
20160818,18.860001,19,18.77,18.860001,1111000,18.796968,0,1,18.8284845,-999,,-0.008483549,,,
20160817,18.82,18.870001,18.67,18.83,852400,18.767067,0,1,18.7935335,-999,,0.00159327,,,
20160816,18.879999,18.99,18.700001,18.82,1066700,18.7571,0,1,18.8185495,-999,,0.000531372,,,
20160815,18.76,19.07,18.700001,18.92,1391500,18.856767,0,1,18.8083835,-999,,-0.005285477,,,
20160812,18.700001,18.700001,18.469999,18.66,1106400,18.597635,0,1,18.648818,-999,,0.0139336,,,
20160811,18.879999,18.93,18.77,18.780001,1150500,18.717235,0,1,18.798617,-999,,-0.006389833,,,
20160810,18.82,19.02,18.74,18.83,1630000,18.767067,0,1,18.7935335,-999,,-0.00265529,,,
20160809,18.83,19.1,18.76,18.799999,1608000,18.737167,0,1,18.7835835,-999,,0.001595759,,,
20160808,18.889999,19.139999,18.77,18.809999,2284200,18.747134,0,1,18.8185665,-999,,-0.000531655,,,
20160805,18.9,19.059999,18.809999,18.860001,2482200,18.796968,0,1,18.848484,-999,,-0.002651172,,,
20160804,17.9,18.879999,17.9,18.65,1850300,18.587668,0,1,18.243834,-999,,0.011260154,,,
20160803,17.469999,18.01,17.469999,18,1471600,17.939841,0,1,17.70492,-999,,0.036111078,,,
20160802,17.99,18.08,17.58,17.799999,1880900,17.740509,0,1,17.8652545,-999,,0.01123598,,,
20160801,18.27,18.43,18.049999,18.08,2128400,18.019574,0,1,18.144787,-999,,-0.01548677,,,
20160729,18.09,18.27,18,18.26,1101000,18.198973,0,1,18.1444865,-999,,-0.009857644,,,
20160728,18.139999,18.18,17.98,18.139999,687100,18.079373,0,1,18.109686,-999,,0.006615274,,,
20160727,18.139999,18.27,18.059999,18.17,1127000,18.109273,0,1,18.124636,-999,,-0.001651088,,,
20160726,18.120001,18.209999,18.08,18.120001,769800,18.059441,0,1,18.089721,-999,,0.002759332,,,
20160725,18.16,18.18,18.040001,18.139999,788900,18.079373,0,1,18.1196865,-999,,-0.001102472,,,
